0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13844,7980,11770,10699,12540,10599,13217,11271,9725,4441,15038,11481,15404,9487,11486,14662,11096,11978,11713,12159
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524
13844,7980,11770,10699,12540,10599,13217,4441,11271,9725,15038,11481,15404,9487,11486,14662,11096,11978,11713,12159
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,7618,7245,5408,8285,13217,8982,11098,11271,14997,9725
13844,7980,11770,10699,12540,10599,13217,11271,9725,15038,4441,11481,15404,9487,11486,14662,11978,11096,11713,12159
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524
13844,7980,12540,11770,10699,10599,4441,13217,8178,9022,11271,9725,15038,13199,8326,15498,11481,15404,9487,7830
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,7618,7245,5408,13217,8285,8982,11098,11271,9725,14997
13844,7980,12540,11770,10699,10599,4441,13217,11271,9725,15038,8178,11481,9022,13199,15498,8326,15404,9487,11486
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,13217,11271,9725,15038,9022,11481,8326,7618,15404,7245
13844,7980,12540,11770,10699,10599,4441,8178,13217,13199,15498,11271,9725,15038,11481,15404,9022,9487,11486,8326
13844,7980,11770,10699,12540,10599,13217,11271,9725,15038,11481,15404,4441,9487,9022,11486,11096,14662,11978,11713
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524
13844,7980,11770,12540,10699,10599,4441,8178,13199,15498,13217,11271,9725,15038,11481,7618,7245,8285,15404,11098
13844,7980,11770,10699,12540,10599,13217,11271,9725,4441,15038,11481,15404,9022,9487,8326,11486,11096,14662,11978
13844,7980,11770,12540,10699,10599,4441,8178,13199,15498,7618,7245,8285,11098,5408,8982,14997,10500,12249,6524
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,11098,7245,8285,8982,14997,10500,5408,12877,12249
13844,7980,11770,10699,12540,10599,13217,11271,4441,9725,15038,11481,15404,9487,11486,14662,11096,11978,11713,12159
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,13217,11271,9725,7618,15038,7245,11481,5408,8285,11098
13844,7980,12540,11770,10699,10599,4441,13217,11271,9725,15038,8178,11481,13199,15498,15404,9022,9487,11486,11096
13844,7980,11770,10699,12540,10599,13217,11271,9725,4441,15038,11481,15404,9487,11486,14662,11978,11096,11713,12159
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,5408,7618,7245,8285,8982,6524,12249,11098,14997,10500
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,8285,11098,8982,5408,14997,10500,12249,6524
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,13217,11271,9725,7618,7245,15038,8285,11098,11481,5408
13844,7980,11770,10699,12540,10599,4441,8178,13199,15498,7618,7245,11098,8285,8982,5408,14997,10500,12249,6524
13844,7980,12540,11770,10699,10599,4441,8178,13199,15498,7618,7245,5408,8285,8982,11098,14997,10500,6524,12249
13844,7980,12540,11770,10699,10599,4441,13217,11271,9725,15038,9022,11481,8326,15404,8178,9487,11486,11096,14662
