,POI_id,longitude,latitude
0,4a5eb95bf964a52019bf1fe3,103.964682,1.335005
1,4a73e804f964a52099dd1fe3,103.844348,1.281391
2,4ac7f7f1f964a520e9ba20e3,103.840514,1.2793860000000001
3,4ac8148ff964a5208bbb20e3,103.845286,1.2826440000000001
4,4afa194af964a520b71622e3,103.846958,1.2889700000000002
5,4b05880af964a5208aad22e3,103.852641,1.295568
6,4b05880af964a52092ad22e3,103.841561,1.301201
7,4b05880af964a52093ad22e3,103.837152,1.288553
8,4b05880af964a52094ad22e3,103.841629,1.317065
9,4b05880af964a52097ad22e3,103.836164,1.302369
10,4b05880af964a5209aad22e3,103.827788,1.306909
11,4b05880af964a5209ead22e3,103.825948,1.312886
12,4b05880af964a520a0ad22e3,103.852526,1.319991
13,4b05880af964a520a6ad22e3,103.845069,1.273687
14,4b05880af964a520a7ad22e3,103.836572,1.288628
15,4b05880af964a520a9ad22e3,103.850172,1.2920639999999999
16,4b05880af964a520acad22e3,103.855013,1.2981200000000002
17,4b05880af964a520adad22e3,103.84507099999999,1.2913780000000001
18,4b05880af964a520aead22e3,103.849345,1.2983040000000001
19,4b05880af964a520afad22e3,103.84595999999999,1.288833
20,4b05880af964a520b0ad22e3,103.855766,1.3106440000000001
21,4b05880bf964a52000ae22e3,103.83909799999999,1.3018379999999998
22,4b05880bf964a52004ae22e3,103.839104,1.301884
23,4b05880bf964a520b3ad22e3,103.898146,1.3147
24,4b05880bf964a520b6ad22e3,103.84356700000001,1.274974
25,4b05880bf964a520b7ad22e3,103.827931,1.307516
26,4b05880bf964a520b9ad22e3,103.82383100000001,1.303835
27,4b05880bf964a520baad22e3,103.835531,1.307077
28,4b05880bf964a520bbad22e3,103.860437,1.300151
29,4b05880bf964a520bfad22e3,103.853977,1.294724
30,4b05880bf964a520c0ad22e3,103.83234499999999,1.306766
31,4b05880bf964a520c1ad22e3,103.836679,1.311657
32,4b05880bf964a520c2ad22e3,103.832622,1.305344
33,4b05880bf964a520c5ad22e3,103.858971,1.291986
34,4b05880bf964a520c6ad22e3,103.86009,1.290806
35,4b05880bf964a520c7ad22e3,103.858818,1.293339
36,4b05880bf964a520c8ad22e3,103.853411,1.293223
37,4b05880bf964a520c9ad22e3,103.83436,1.3082799999999999
38,4b05880bf964a520caad22e3,103.853122,1.301038
39,4b05880bf964a520cead22e3,103.842235,1.30069
40,4b05880bf964a520cfad22e3,103.810029,1.257147
41,4b05880bf964a520d0ad22e3,103.828568,1.304642
42,4b05880bf964a520d1ad22e3,103.833297,1.306353
43,4b05880bf964a520d2ad22e3,103.83523199999999,1.290497
44,4b05880bf964a520daad22e3,103.880324,1.311911
45,4b05880bf964a520dead22e3,103.84789599999999,1.2978129999999999
46,4b05880bf964a520dfad22e3,103.845105,1.297408
47,4b05880bf964a520e4ad22e3,103.85250500000001,1.2970780000000002
48,4b05880bf964a520e5ad22e3,103.813959,1.255161
49,4b05880bf964a520e6ad22e3,103.95380899999999,1.3761940000000001
